State         Time     Equivalence  xx_c(j) J=SEP_NO     c_alpha_SEP           Phi_1         c_0_SEP     J=NJ      c_alpha_NJ           Phi_1          c_0_NJ  
  CDR        hours       Li1_xV3O8       nm        #       Li1_xV3O8               V               M        #       Li1_xV3O8               V               M  
    D        0.000     0.00000E+00     0.00       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00   156.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00   468.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00   781.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  1093.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  1406.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  1718.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  2031.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  2343.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  2656.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  2968.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  3281.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  3593.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  3906.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  4218.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  4531.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  4843.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  5156.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  5468.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  5781.25       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  6093.75       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.000     0.00000E+00  6250.00       22     1.00021E+00     4.20000E+00     1.00000E+00       33     1.00021E+00     4.20000E+00     1.00000E+00  
    D        0.028     7.49806E-03     0.00       22     1.00414E+00     4.14752E+00     3.38443E-01       33     1.00414E+00     4.14751E+00     3.38389E-01  
    D        0.028     7.49806E-03   156.25       22     1.00414E+00     4.14752E+00     3.38443E-01       33     1.00414E+00     4.14751E+00     3.38389E-01  
    D        0.028     7.49806E-03   468.75       22     1.00415E+00     4.14752E+00     3.39680E-01       33     1.00415E+00     4.14751E+00     3.39626E-01  
    D        0.028     7.49806E-03   781.25       22     1.00417E+00     4.14752E+00     3.42192E-01       33     1.00417E+00     4.14751E+00     3.42138E-01  
    D        0.028     7.49806E-03  1093.75       22     1.00420E+00     4.14752E+00     3.46059E-01       33     1.00420E+00     4.14751E+00     3.46005E-01  
    D        0.028     7.49806E-03  1406.25       22     1.00425E+00     4.14752E+00     3.51402E-01       33     1.00425E+00     4.14751E+00     3.51347E-01  
    D        0.028     7.49806E-03  1718.75       22     1.00430E+00     4.14752E+00     3.58386E-01       33     1.00430E+00     4.14751E+00     3.58331E-01  
    D        0.028     7.49806E-03  2031.25       22     1.00438E+00     4.14752E+00     3.67229E-01       33     1.00438E+00     4.14751E+00     3.67174E-01  
    D        0.028     7.49806E-03  2343.75       22     1.00447E+00     4.14752E+00     3.78204E-01       33     1.00447E+00     4.14751E+00     3.78148E-01  
    D        0.028     7.49806E-03  2656.25       22     1.00458E+00     4.14752E+00     3.91647E-01       33     1.00459E+00     4.14751E+00     3.91592E-01  
    D        0.028     7.49806E-03  2968.75       22     1.00473E+00     4.14752E+00     4.07974E-01       33     1.00473E+00     4.14751E+00     4.07919E-01  
    D        0.028     7.49806E-03  3281.25       22     1.00490E+00     4.14752E+00     4.27693E-01       33     1.00490E+00     4.14751E+00     4.27637E-01  
    D        0.028     7.49806E-03  3593.75       22     1.00512E+00     4.14752E+00     4.51422E-01       33     1.00512E+00     4.14751E+00     4.51368E-01  
    D        0.028     7.49806E-03  3906.25       22     1.00538E+00     4.14752E+00     4.79927E-01       33     1.00538E+00     4.14751E+00     4.79873E-01  
