State         Time      Voltage    Solution_Pot        Position            mAhg     Equivalence      Elect_Conc      Solid_Conc        Rxn_Rate         Cur_Sol          Cur_SS         Cur_tot
  CDR        hours        Volts           Volts              cm           mAh/g          LixNMC           mol/L          LixNMC               ,           A/cm2           A/cm2           A/cm2
    D      0.00000      4.20000     0.00000E+00     0.00000E+00     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     6.25000E-05     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.87500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     3.12500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     4.37500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     5.62500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     6.87500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     8.12500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     9.37500E-04     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.06250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.18750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.31250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.43750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.56250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.68750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.81250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     1.93750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.06250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.18750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.31250E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.43750E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.50000E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.63080E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     2.89239E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     3.15399E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     3.41558E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     3.67717E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     3.93877E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     4.20036E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     4.46196E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     4.72355E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     4.98514E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.00000      4.20000     0.00000E+00     5.11594E-03     0.00000E+00     0.00000E+00     1.00000E+00     2.09696E-04    -1.26734E-06    -0.00000E+00    -0.00000E+00     0.00000E+00
    D      0.02778      3.98830     0.00000E+00     0.00000E+00     2.08333E+00     7.49806E-03     1.00003E+00     2.09696E-04    -7.82989E-05     2.70750E-04    -0.00000E+00     2.70750E-04
    D      0.02778      3.98830    -2.30944E-08     6.25000E-05     2.08333E+00     7.49806E-03     1.00003E+00     2.09696E-04    -7.82987E-05     2.70750E-04    -0.00000E+00     2.70750E-04
    D      0.02778      3.98830    -6.92834E-08     1.87500E-04     2.08333E+00     7.49806E-03     1.00003E+00     2.09696E-04    -7.82985E-05     2.70750E-04    -0.00000E+00     2.70750E-04
    D      0.02778      3.98830    -1.15472E-07     3.12500E-04     2.08333E+00     7.49806E-03     1.00003E+00     2.09696E-04    -7.82983E-05     2.70750E-04    -0.00000E+00     2.70750E-04
