State         Time      Voltage            mAhg     Equivalence      Solid_Conc       Thickness     Vol_En_Dens     Spe_En_Dens       Areal_cap
  CDR        hours        Volts           mAh/g          LixNMC          LixNMC              um            Wh/L            Wh/g         mAh/cm2
    D      0.00000      4.20000     0.00000E+00     0.00000E+00     2.09696E-04     2.61594E-03     0.00000E+00     0.00000E+00     0.00000E+00
    D      0.02778      3.99719     2.08333E+00     7.49806E-03     9.15789E-03     2.61594E-03     7.37294E+00     5.34271E+00     7.52083E-03
    D      0.05528      4.00014     4.14583E+00     1.49211E-02     2.38389E-02     2.61594E-03     1.92385E+01     1.39410E+01     1.49665E-02
    D      0.08278      3.98257     6.20833E+00     2.23442E-02     3.30059E-02     2.61594E-03     3.11150E+01     2.25471E+01     2.24121E-02
    D      0.11028      3.96178     8.27083E+00     2.97673E-02     4.08893E-02     2.61594E-03     4.29505E+01     3.11236E+01     2.98577E-02
    D      0.13778      3.94115     1.03333E+01     3.71904E-02     4.86351E-02     2.61594E-03     5.47287E+01     3.96585E+01     3.73033E-02
    D      0.16528      3.92132     1.23958E+01     4.46134E-02     5.64853E-02     2.61594E-03     6.64470E+01     4.81500E+01     4.47490E-02
    D      0.19278      3.90242     1.44583E+01     5.20365E-02     6.44653E-02     2.61594E-03     7.81072E+01     5.65994E+01     5.21946E-02
    D      0.22028      3.88443     1.65208E+01     5.94596E-02     7.25422E-02     2.61594E-03     8.97124E+01     6.50090E+01     5.96402E-02
    D      0.24778      3.86727     1.85833E+01     6.68827E-02     8.06700E-02     2.61594E-03     1.01266E+02     7.33808E+01     6.70858E-02
    D      0.27528      3.85083     2.06458E+01     7.43057E-02     8.88089E-02     2.61594E-03     1.12770E+02     8.17171E+01     7.45315E-02
    D      0.30278      3.83500     2.27083E+01     8.17288E-02     9.69331E-02     2.61594E-03     1.24227E+02     9.00193E+01     8.19771E-02
    D      0.33028      3.81971     2.47708E+01     8.91519E-02     1.05032E-01     2.61594E-03     1.35639E+02     9.82889E+01     8.94227E-02
    D      0.35778      3.80490     2.68333E+01     9.65750E-02     1.13105E-01     2.61594E-03     1.47007E+02     1.06527E+02     9.68683E-02
    D      0.38528      3.79055     2.88958E+01     1.03998E-01     1.21161E-01     2.61594E-03     1.58334E+02     1.14734E+02     1.04314E-01
    D      0.41278      3.77664     3.09583E+01     1.11421E-01     1.29208E-01     2.61594E-03     1.69619E+02     1.22912E+02     1.11760E-01
    D      0.44028      3.76316     3.30208E+01     1.18844E-01     1.37253E-01     2.61594E-03     1.80865E+02     1.31061E+02     1.19205E-01
    D      0.46778      3.75008     3.50833E+01     1.26267E-01     1.45303E-01     2.61594E-03     1.92072E+02     1.39182E+02     1.26651E-01
    D      0.49528      3.73740     3.71458E+01     1.33690E-01     1.53359E-01     2.61594E-03     2.03241E+02     1.47276E+02     1.34096E-01
    D      0.52278      3.72510     3.92083E+01     1.41113E-01     1.61424E-01     2.61594E-03     2.14375E+02     1.55344E+02     1.41542E-01
    D      0.55028      3.71316     4.12708E+01     1.48537E-01     1.69498E-01     2.61594E-03     2.25473E+02     1.63386E+02     1.48988E-01
